Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Pantalón,Dama,Rojo,Formal,Marca D,1856.57,35,6,29,Ciencias Sociales y Humanidades,HombreMujer,Regular
Falda,Caballero,Azul,Formal,Marca D,1469.11,33,3,26,Artes,Mujer,Regular
Falda,Caballero,Verde,Casual,Marca D,1681.05,45,11,20,Educación,HombreMujer,Regular
Camisa,Dama,Blanco,Casual,Marca C,590.22,32,14,29,Artes,Hombre,Regular
Chaqueta,Caballero,Rojo,Casual,Marca D,182.53,36,7,25,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Formal,Marca D,1516.17,32,3,23,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Caballero,Blanco,Deportivo,Marca C,1405.38,44,10,27,Ciencias de la Salud,Hombre,Regular
Chaqueta,Caballero,Negro,Casual,Marca B,666.34,32,20,23,Educación,Hombre,Regular
Vestido,Caballero,Blanco,Deportivo,Marca C,1440.35,32,17,24,Deportes,Hombre,Regular
Pantalón,Dama,Rojo,Deportivo,Marca B,1575.08,37,6,23,Deportes,Hombre,Regular
Vestido,Caballero,Blanco,Deportivo,Marca A,498.33,45,5,25,Ciencias de la Salud,Hombre,Regular
Falda,Dama,Blanco,Deportivo,Marca B,159.18,40,5,23,Artes,Hombre,Regular
Chaqueta,Caballero,Negro,Deportivo,Marca B,1953.1,32,12,27,Deportes,Hombre,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca C,1612.55,38,15,25,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Blanco,Casual,Marca B,1415.2,45,2,23,Educación,HombreMujer,Regular
Vestido,Caballero,Verde,Deportivo,Marca A,831.43,42,1,30,Ingeniería,Hombre,Regular
Vestido,Caballero,Rojo,Formal,Marca C,944.97,35,17,25,Artes,HombreMujer,Regular
Camisa,Dama,Verde,Casual,Marca B,1594.48,34,1,26,Deportes,Mujer,Regular
Falda,Caballero,Azul,Formal,Marca B,1750.15,43,14,20,Artes,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca B,1336.16,33,11,20,Educación,Hombre,Regular
Falda,Caballero,Verde,Formal,Marca A,1638.95,44,11,20,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Deportivo,Marca A,427.35,40,11,28,Educación,Hombre,Regular
Camisa,Dama,Verde,Formal,Marca C,542.14,33,9,25,Deportes,Mujer,Regular
Falda,Caballero,Blanco,Casual,Marca D,945.41,43,15,27,Educación,HombreMujer,Regular
Camisa,Caballero,Azul,Casual,Marca C,1585.61,39,20,27,Educación,Hombre,Regular
Chaqueta,Caballero,Verde,Deportivo,Marca B,990.55,43,9,20,Artes,Mujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca D,691.75,42,0,24,Educación,HombreMujer,Regular
Pantalón,Caballero,Azul,Casual,Marca C,1828.26,38,9,26,Artes,Hombre,Regular
Pantalón,Dama,Blanco,Deportivo,Marca A,481.4,45,3,26,Deportes,Mujer,Regular
Pantalón,Caballero,Rojo,Deportivo,Marca A,1911.54,37,20,23,Educación,Hombre,Regular
Camisa,Caballero,Negro,Formal,Marca A,1426.62,37,20,26,Ingeniería,Mujer,Regular
Vestido,Dama,Verde,Deportivo,Marca C,1723.48,45,8,28,Educación,Hombre,Regular
Falda,Caballero,Rojo,Formal,Marca D,1198.57,32,15,20,Ciencias de la Salud,Hombre,Regular
Vestido,Caballero,Azul,Formal,Marca B,1575.47,43,11,24,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Negro,Formal,Marca D,322.69,45,20,24,Educación,Hombre,Regular
Chaqueta,Caballero,Rojo,Deportivo,Marca A,858.63,34,1,24,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Azul,Deportivo,Marca C,1545.33,39,13,25,Deportes,HombreMujer,Regular
Falda,Dama,Verde,Formal,Marca C,1795.41,44,5,30,Educación,Hombre,Regular
Camisa,Dama,Azul,Deportivo,Marca D,495.4,45,19,27,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca B,211.25,38,11,29,Ingeniería,Hombre,Regular
Pantalón,Caballero,Blanco,Casual,Marca D,429.68,43,20,21,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Caballero,Verde,Deportivo,Marca D,381.21,40,12,29,Artes,HombreMujer,Regular
Chaqueta,Dama,Negro,Deportivo,Marca C,759.2,36,15,22,Educación,Mujer,Regular
Falda,Dama,Verde,Casual,Marca D,1079.77,38,16,21,Educación,Mujer,Regular
Camisa,Dama,Rojo,Casual,Marca B,681.81,38,2,28,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Verde,Casual,Marca D,1122.91,44,10,20,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Dama,Rojo,Formal,Marca A,1565.82,39,1,26,Deportes,Hombre,Regular
Pantalón,Caballero,Rojo,Deportivo,Marca A,1956.82,40,7,25,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca A,1783.2,44,4,24,Deportes,Hombre,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca D,1149.23,42,17,30,Educación,Mujer,Regular
Camisa,Dama,Verde,Casual,Marca D,154.35,37,1,24,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Dama,Azul,Casual,Marca C,1151.08,44,9,30,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Dama,Verde,Casual,Marca D,893.91,44,15,23,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca B,1070.85,37,20,23,Ingeniería,Hombre,Regular
Camisa,Caballero,Rojo,Casual,Marca D,275.76,43,10,22,Educación,HombreMujer,Regular
Vestido,Caballero,Azul,Casual,Marca B,730.58,41,19,26,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Caballero,Verde,Formal,Marca A,1307.64,33,1,28,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Dama,Azul,Formal,Marca C,1190.73,37,15,27,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Blanco,Deportivo,Marca B,816.26,45,1,22,Ingeniería,Hombre,Regular
Chaqueta,Dama,Blanco,Casual,Marca B,1175.42,40,3,29,Deportes,Hombre,Regular
Camisa,Dama,Rojo,Deportivo,Marca A,712.51,41,9,25,Deportes,Mujer,Regular
Camisa,Dama,Verde,Casual,Marca D,1426.76,43,12,20,Ciencias de la Salud,Mujer,Regular
Falda,Dama,Negro,Casual,Marca B,1349.91,44,8,21,Educación,HombreMujer,Regular
Falda,Caballero,Azul,Casual,Marca B,373.98,44,14,24,Educación,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,1129.97,43,18,29,Educación,Hombre,Regular
Pantalón,Dama,Azul,Formal,Marca A,660.34,32,17,20,Artes,HombreMujer,Regular
Pantalón,Dama,Rojo,Casual,Marca B,644.89,38,2,20,Deportes,HombreMujer,Regular
Camisa,Caballero,Negro,Deportivo,Marca A,1974.66,39,5,25,Deportes,Hombre,Regular
Vestido,Dama,Verde,Casual,Marca C,539.19,40,8,30,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Dama,Verde,Deportivo,Marca C,727.38,32,12,21,Deportes,Hombre,Regular
Falda,Caballero,Verde,Deportivo,Marca C,488.45,40,6,24,Ciencias de la Salud,Hombre,Regular
Falda,Caballero,Rojo,Formal,Marca A,1746.97,39,12,24,Artes,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca A,1815.42,41,11,22,Deportes,Mujer,Regular
Chaqueta,Caballero,Blanco,Casual,Marca D,1938.9,35,5,29,Artes,Hombre,Regular
Pantalón,Dama,Negro,Casual,Marca A,480.09,44,10,25,Ingeniería,Mujer,Regular
Chaqueta,Dama,Blanco,Casual,Marca D,1874.16,36,11,28,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Caballero,Rojo,Casual,Marca B,1369.06,42,5,27,Deportes,Hombre,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca D,651.13,43,13,25,Artes,Mujer,Regular
Pantalón,Dama,Verde,Deportivo,Marca C,1775.94,37,1,25,Ingeniería,Hombre,Regular
Pantalón,Caballero,Azul,Deportivo,Marca A,1558.5,35,5,30,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Dama,Blanco,Deportivo,Marca D,1537.27,35,19,30,Educación,Hombre,Regular
Chaqueta,Dama,Rojo,Formal,Marca D,353.17,42,8,24,Ciencias de la Salud,Mujer,Regular
Chaqueta,Caballero,Blanco,Formal,Marca C,1374.88,35,16,30,Educación,Hombre,Regular
Chaqueta,Dama,Negro,Deportivo,Marca B,1217.97,41,1,22,Deportes,Mujer,Regular
Pantalón,Dama,Negro,Casual,Marca B,897.77,36,0,29,Deportes,Hombre,Regular
Pantalón,Caballero,Rojo,Formal,Marca D,1748.7,32,16,26,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Blanco,Casual,Marca D,1433.53,33,20,24,Deportes,Mujer,Regular
Vestido,Dama,Rojo,Casual,Marca D,657.73,43,10,25,Deportes,Hombre,Regular
Falda,Caballero,Azul,Casual,Marca C,513.73,44,6,25,Ciencias de la Salud,Mujer,Regular
Falda,Dama,Blanco,Formal,Marca D,935.09,35,20,30,Artes,Mujer,Regular
Camisa,Dama,Blanco,Formal,Marca A,751.21,38,15,24,Educación,Hombre,Regular
Camisa,Caballero,Rojo,Formal,Marca D,1670.06,41,2,29,Ciencias de la Salud,Hombre,Regular
Vestido,Caballero,Rojo,Deportivo,Marca D,197.76,33,9,30,Artes,Hombre,Regular
Vestido,Dama,Blanco,Formal,Marca A,876.44,40,1,30,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Dama,Rojo,Formal,Marca A,534.89,33,2,21,Artes,Mujer,Regular
Chaqueta,Caballero,Blanco,Deportivo,Marca D,1352.14,35,10,30,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Dama,Azul,Deportivo,Marca C,818.91,44,15,25,Ciencias de la Salud,HombreMujer,Regular
Falda,Dama,Rojo,Deportivo,Marca B,1670.35,42,17,25,Educación,HombreMujer,Regular
Chaqueta,Dama,Verde,Deportivo,Marca A,766.89,41,8,28,Artes,Mujer,Regular
Falda,Dama,Azul,Deportivo,Marca B,1637.65,41,5,20,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Negro,Formal,Marca A,1910.7,32,7,29,Ingeniería,Mujer,Regular
Vestido,Caballero,Verde,Casual,Marca D,497.08,43,12,23,Deportes,Mujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca C,1728.98,43,5,22,Educación,Mujer,Regular
Vestido,Caballero,Negro,Formal,Marca C,1366.5,34,19,20,Educación,Mujer,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,547.54,38,11,28,Ingeniería,Mujer,Regular
Falda,Caballero,Rojo,Casual,Marca C,1395.86,44,18,21,Educación,Hombre,Regular
Vestido,Dama,Verde,Deportivo,Marca C,958.86,37,8,27,Artes,Mujer,Regular
Chaqueta,Caballero,Verde,Formal,Marca D,1917.89,37,7,23,Ciencias de la Salud,Mujer,Regular
Vestido,Dama,Azul,Formal,Marca B,1199.08,35,19,26,Deportes,Mujer,Regular
Falda,Caballero,Rojo,Formal,Marca B,1246.95,37,18,29,Educación,Mujer,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca B,846.37,37,8,30,Artes,HombreMujer,Regular
Vestido,Dama,Verde,Deportivo,Marca A,1445.84,33,2,27,Ciencias de la Salud,HombreMujer,Regular
Pantalón,Caballero,Azul,Casual,Marca B,655.01,39,17,20,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca B,770.94,44,9,29,Ingeniería,Mujer,Regular
Vestido,Caballero,Blanco,Casual,Marca C,1069.52,37,5,30,Ingeniería,HombreMujer,Regular
Pantalón,Dama,Negro,Formal,Marca B,1517.69,41,10,30,Educación,Mujer,Regular
Chaqueta,Dama,Negro,Formal,Marca B,778.17,39,20,26,Educación,Hombre,Regular
Pantalón,Caballero,Negro,Formal,Marca C,677.86,45,20,25,Deportes,Mujer,Regular
Chaqueta,Caballero,Negro,Formal,Marca A,1923.76,35,2,29,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Dama,Azul,Casual,Marca D,1966.01,45,1,23,Deportes,Hombre,Regular
Falda,Dama,Blanco,Formal,Marca C,1959.83,32,3,20,Deportes,Hombre,Regular
Chaqueta,Dama,Blanco,Deportivo,Marca B,261.06,35,11,25,Deportes,HombreMujer,Regular
Camisa,Caballero,Azul,Deportivo,Marca B,385.63,39,6,21,Deportes,Mujer,Regular
Pantalón,Caballero,Rojo,Casual,Marca C,483.79,34,20,29,Educación,Mujer,Regular
Chaqueta,Caballero,Blanco,Casual,Marca A,303.12,41,13,25,Ingeniería,Mujer,Regular
Chaqueta,Dama,Rojo,Casual,Marca B,998.67,37,1,26,Deportes,Hombre,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca C,1082.26,42,3,20,Educación,HombreMujer,Regular
Camisa,Caballero,Azul,Casual,Marca D,444.35,37,16,23,Artes,Mujer,Regular
Pantalón,Caballero,Blanco,Casual,Marca C,1681.88,38,7,24,Ingeniería,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca D,986.1,44,17,20,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Caballero,Azul,Formal,Marca D,936.52,44,17,23,Ingeniería,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca B,793.04,35,3,24,Educación,Hombre,Regular
Vestido,Dama,Verde,Deportivo,Marca A,1596.21,34,15,20,Artes,HombreMujer,Regular
Camisa,Caballero,Blanco,Deportivo,Marca B,1873.76,32,0,21,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Blanco,Deportivo,Marca A,386.17,33,9,27,Deportes,Hombre,Regular
Pantalón,Dama,Verde,Deportivo,Marca A,387.96,40,10,25,Educación,Mujer,Regular
Camisa,Dama,Azul,Formal,Marca C,1544.19,39,18,28,Ingeniería,Mujer,Regular
Vestido,Caballero,Verde,Deportivo,Marca D,376.28,38,9,27,Ciencias de la Salud,Mujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca D,1255.02,35,13,27,Ingeniería,HombreMujer,Regular
Falda,Dama,Blanco,Formal,Marca C,197.61,34,16,24,Artes,Mujer,Regular
Camisa,Caballero,Blanco,Deportivo,Marca C,1037.5,38,12,25,Ciencias de la Salud,Hombre,Regular
Falda,Caballero,Negro,Formal,Marca B,558.8,45,4,28,Educación,Hombre,Regular
Chaqueta,Caballero,Azul,Formal,Marca B,1563.77,32,0,24,Ingeniería,Hombre,Regular
Vestido,Dama,Verde,Deportivo,Marca A,638.34,41,7,26,Educación,Mujer,Regular
Vestido,Caballero,Blanco,Deportivo,Marca D,1647.75,44,2,22,Educación,Mujer,Regular
Chaqueta,Dama,Negro,Casual,Marca D,1276.87,44,9,21,Deportes,Mujer,Regular
Camisa,Caballero,Rojo,Casual,Marca C,1992.27,45,5,20,Educación,Hombre,Regular
Camisa,Caballero,Negro,Formal,Marca A,872.44,34,9,26,Deportes,Mujer,Regular
Falda,Caballero,Azul,Formal,Marca A,208.61,45,2,20,Deportes,Hombre,Regular
Pantalón,Dama,Azul,Casual,Marca D,1194.11,33,10,29,Ciencias de la Salud,Mujer,Regular
Falda,Dama,Blanco,Casual,Marca B,371.23,40,10,28,Artes,Hombre,Regular
Pantalón,Dama,Verde,Deportivo,Marca A,1782.31,39,2,28,Ingeniería,Hombre,Regular
Chaqueta,Dama,Verde,Casual,Marca C,785.67,34,2,22,Educación,Hombre,Regular
Camisa,Dama,Negro,Casual,Marca B,1279.65,45,15,23,Educación,Mujer,Regular
Camisa,Dama,Blanco,Deportivo,Marca C,849.7,43,12,23,Ingeniería,Hombre,Regular
Vestido,Caballero,Blanco,Formal,Marca B,1608.01,35,19,23,Educación,Mujer,Regular
Pantalón,Dama,Azul,Casual,Marca B,1925.61,36,8,30,Artes,Mujer,Regular
Vestido,Dama,Rojo,Deportivo,Marca D,1369.11,38,15,21,Ciencias de la Salud,HombreMujer,Regular
Chaqueta,Dama,Azul,Formal,Marca C,700.42,44,19,28,Deportes,Hombre,Regular
Pantalón,Dama,Blanco,Formal,Marca B,594.46,43,16,26,Ciencias de la Salud,HombreMujer,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,1805.15,32,3,22,Artes,HombreMujer,Regular
Camisa,Caballero,Negro,Casual,Marca D,1953.28,34,9,23,Deportes,Mujer,Regular
Camisa,Caballero,Blanco,Deportivo,Marca C,1843.93,32,16,22,Educación,Mujer,Regular
Chaqueta,Caballero,Blanco,Formal,Marca D,1557.37,41,12,22,Deportes,Mujer,Regular
Pantalón,Caballero,Negro,Formal,Marca A,1886.72,40,13,28,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Dama,Blanco,Formal,Marca D,1448.12,32,20,20,Educación,Mujer,Regular
Vestido,Caballero,Verde,Deportivo,Marca A,1208.59,40,2,28,Deportes,Mujer,Regular
Falda,Dama,Blanco,Casual,Marca A,1698.24,40,12,24,Ingeniería,Hombre,Regular
Vestido,Dama,Verde,Deportivo,Marca B,1128.1,33,13,21,Deportes,Mujer,Regular
Chaqueta,Dama,Verde,Formal,Marca C,267.17,38,3,23,Ciencias de la Salud,HombreMujer,Regular
Pantalón,Caballero,Negro,Formal,Marca D,1812.66,43,5,23,Artes,Mujer,Regular
Camisa,Caballero,Azul,Formal,Marca A,949.84,44,12,24,Ciencias de la Salud,Mujer,Regular
Chaqueta,Caballero,Blanco,Casual,Marca B,1339.6,35,12,25,Ingeniería,Hombre,Regular
Chaqueta,Dama,Azul,Casual,Marca A,1414.15,33,3,30,Educación,HombreMujer,Regular
Pantalón,Dama,Negro,Casual,Marca C,436.75,38,6,20,Deportes,Mujer,Regular
Chaqueta,Caballero,Rojo,Formal,Marca A,1776.61,36,7,26,Deportes,Mujer,Regular
Chaqueta,Caballero,Azul,Formal,Marca A,1350.01,37,14,26,Educación,Hombre,Regular
Pantalón,Caballero,Verde,Deportivo,Marca A,1234.19,33,14,22,Ciencias de la Salud,Mujer,Regular
Camisa,Caballero,Rojo,Deportivo,Marca A,811.97,41,0,22,Ingeniería,HombreMujer,Regular
Falda,Caballero,Verde,Casual,Marca D,1228.21,40,5,21,Artes,Hombre,Regular
Falda,Dama,Rojo,Formal,Marca A,1292.23,37,14,29,Deportes,Mujer,Regular
Falda,Dama,Rojo,Formal,Marca C,1874.99,38,10,30,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Blanco,Formal,Marca A,1609.82,45,13,23,Ingeniería,Mujer,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,1204.1,35,7,28,Educación,Mujer,Regular
Chaqueta,Caballero,Negro,Casual,Marca C,1041.41,37,2,23,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Dama,Rojo,Formal,Marca D,284.3,35,2,25,Artes,Hombre,Regular
Pantalón,Caballero,Verde,Casual,Marca B,200.34,43,1,23,Artes,Mujer,Regular
Vestido,Caballero,Rojo,Deportivo,Marca C,1134.43,43,6,21,Ciencias de la Salud,Mujer,Regular
Pantalón,Dama,Azul,Casual,Marca D,537.93,34,17,24,Educación,Hombre,Regular
Camisa,Caballero,Verde,Formal,Marca A,1755.47,44,8,27,Educación,Hombre,Regular
Falda,Dama,Verde,Formal,Marca A,902.15,35,6,28,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Dama,Verde,Casual,Marca D,1819.2,39,11,23,Educación,Mujer,Regular
Camisa,Caballero,Verde,Casual,Marca D,769.09,36,9,29,Deportes,Mujer,Regular
Vestido,Dama,Azul,Formal,Marca A,1861.19,32,13,23,Educación,Mujer,Regular
Chaqueta,Dama,Negro,Formal,Marca B,214.18,32,4,28,Educación,HombreMujer,Regular
Falda,Dama,Blanco,Casual,Marca D,733.51,35,8,27,Ciencias de la Salud,Mujer,Regular
Falda,Caballero,Azul,Formal,Marca D,1371.86,38,16,24,Deportes,Mujer,Regular
Chaqueta,Caballero,Azul,Formal,Marca B,1712.3,37,6,22,Deportes,HombreMujer,Regular
Vestido,Dama,Azul,Casual,Marca B,157.35,40,13,30,Artes,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca B,1273.14,35,2,27,Artes,Mujer,Regular
Camisa,Caballero,Negro,Deportivo,Marca B,1320.19,35,13,23,Ingeniería,Hombre,Regular
Pantalón,Dama,Rojo,Deportivo,Marca A,1752.97,34,19,24,Deportes,Mujer,Regular
Pantalón,Caballero,Verde,Casual,Marca D,472.05,39,6,20,Artes,Mujer,Regular
Pantalón,Caballero,Verde,Formal,Marca B,478.09,44,19,30,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Verde,Deportivo,Marca D,1350.73,32,13,30,Ciencias de la Salud,Hombre,Regular
Falda,Caballero,Negro,Deportivo,Marca B,1238.66,44,12,23,Artes,HombreMujer,Regular
Vestido,Dama,Blanco,Deportivo,Marca D,1704.05,36,14,22,Ingeniería,Mujer,Regular
Falda,Dama,Verde,Casual,Marca C,333.72,35,17,20,Artes,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca C,1246.93,32,14,30,Educación,Hombre,Regular
Falda,Caballero,Verde,Deportivo,Marca B,1445.44,40,8,24,Ciencias de la Salud,Mujer,Regular
Pantalón,Dama,Verde,Casual,Marca B,1256.38,41,18,28,Ciencias de la Salud,HombreMujer,Regular
Vestido,Dama,Negro,Formal,Marca B,1473.82,34,7,27,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Caballero,Azul,Formal,Marca C,330.45,40,4,29,Artes,HombreMujer,Regular
Vestido,Caballero,Blanco,Deportivo,Marca D,1125.54,35,5,26,Ciencias de la Salud,HombreMujer,Regular
Camisa,Caballero,Verde,Casual,Marca D,1011.59,42,17,30,Educación,Hombre,Regular
Camisa,Caballero,Negro,Casual,Marca A,204.61,38,11,25,Educación,Hombre,Regular
Chaqueta,Caballero,Blanco,Deportivo,Marca A,1477.17,36,7,28,Ciencias Sociales y Humanidades,HombreMujer,Regular
Pantalón,Dama,Rojo,Casual,Marca B,1483.19,45,0,24,Deportes,Mujer,Regular
Camisa,Dama,Blanco,Formal,Marca D,1591.87,34,16,30,Educación,Mujer,Regular
Chaqueta,Caballero,Rojo,Casual,Marca D,278.21,34,16,27,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Verde,Deportivo,Marca A,1857.54,40,19,29,Artes,Mujer,Regular
Pantalón,Caballero,Azul,Casual,Marca C,962.36,43,0,29,Ingeniería,Hombre,Regular
Vestido,Caballero,Azul,Deportivo,Marca B,1361.37,39,10,20,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Blanco,Deportivo,Marca D,1712.55,41,4,20,Ciencias de la Salud,Hombre,Regular
Camisa,Caballero,Negro,Formal,Marca A,1643.28,43,20,23,Ciencias de la Salud,Mujer,Regular
Chaqueta,Caballero,Verde,Deportivo,Marca C,1760.84,34,16,28,Deportes,Mujer,Regular
Camisa,Dama,Rojo,Casual,Marca B,801.04,34,2,30,Artes,Hombre,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1038.63,45,1,24,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Caballero,Rojo,Formal,Marca D,548.1,37,8,27,Ingeniería,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca D,1045.7,45,11,24,Educación,Hombre,Regular
Vestido,Caballero,Azul,Formal,Marca B,1536.88,38,10,27,Educación,HombreMujer,Regular
Falda,Caballero,Blanco,Formal,Marca C,1346.12,44,7,24,Educación,Hombre,Regular
Falda,Dama,Rojo,Deportivo,Marca B,1421.95,35,0,28,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Dama,Azul,Formal,Marca C,680.13,44,15,30,Educación,Hombre,Regular
Vestido,Dama,Negro,Casual,Marca C,1163.15,35,19,28,Ingeniería,Hombre,Regular
Pantalón,Dama,Azul,Casual,Marca A,951.37,33,9,29,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Blanco,Deportivo,Marca D,1085.45,34,9,24,Deportes,Hombre,Regular
Falda,Dama,Azul,Casual,Marca D,1580.14,43,6,28,Artes,Mujer,Regular
Pantalón,Caballero,Rojo,Deportivo,Marca A,349.07,38,13,20,Ciencias de la Salud,Hombre,Regular
Camisa,Caballero,Blanco,Casual,Marca B,1325.23,38,1,30,Artes,Mujer,Regular
Pantalón,Dama,Negro,Formal,Marca C,347.18,43,7,29,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Dama,Negro,Casual,Marca C,1148.09,39,15,22,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Verde,Deportivo,Marca C,665.52,38,13,20,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca D,744.91,36,10,28,Educación,HombreMujer,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca B,1394.81,37,3,29,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca B,1711.42,39,8,30,Ciencias de la Salud,HombreMujer,Regular
Pantalón,Dama,Verde,Deportivo,Marca A,190.44,32,3,23,Artes,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,1807.51,36,8,22,Deportes,HombreMujer,Regular
Chaqueta,Dama,Rojo,Deportivo,Marca D,499.01,36,0,26,Deportes,Hombre,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca D,1730.29,43,8,20,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Dama,Blanco,Casual,Marca C,1484.15,32,13,24,Deportes,Mujer,Regular
Camisa,Caballero,Verde,Formal,Marca D,276.95,37,10,29,Artes,Hombre,Regular
Falda,Caballero,Rojo,Deportivo,Marca B,239.12,38,14,25,Educación,HombreMujer,Regular
Camisa,Caballero,Verde,Deportivo,Marca C,305.94,39,17,28,Artes,Hombre,Regular
Camisa,Dama,Negro,Casual,Marca D,1840.76,37,11,29,Deportes,Mujer,Regular
Chaqueta,Dama,Azul,Formal,Marca A,205.64,40,15,20,Ingeniería,HombreMujer,Regular
Pantalón,Caballero,Rojo,Deportivo,Marca A,632.88,32,10,26,Deportes,Mujer,Regular
Camisa,Caballero,Verde,Casual,Marca C,1481.07,43,2,20,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,385.74,38,11,22,Artes,Mujer,Regular
Camisa,Dama,Rojo,Casual,Marca A,1760.28,36,11,23,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Dama,Negro,Casual,Marca B,1905.01,42,3,26,Ingeniería,HombreMujer,Regular
Falda,Caballero,Azul,Casual,Marca C,1740.09,37,12,27,Artes,Mujer,Regular
Pantalón,Caballero,Verde,Deportivo,Marca D,1275.78,37,6,25,Ingeniería,Mujer,Regular
Camisa,Caballero,Blanco,Casual,Marca B,321.09,43,16,28,Ingeniería,Mujer,Regular
Pantalón,Dama,Blanco,Formal,Marca B,416.64,45,0,28,Artes,Hombre,Regular
Chaqueta,Caballero,Azul,Formal,Marca D,1812.38,38,3,22,Artes,Mujer,Regular
Pantalón,Dama,Blanco,Casual,Marca D,399.57,40,19,24,Ciencias de la Salud,Mujer,Regular
Falda,Caballero,Azul,Formal,Marca D,1015.44,35,6,22,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Dama,Azul,Deportivo,Marca A,600.8,44,10,25,Ingeniería,Hombre,Regular
Pantalón,Dama,Rojo,Casual,Marca A,1524.81,33,4,20,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Caballero,Negro,Formal,Marca D,774.65,42,15,24,Educación,HombreMujer,Regular
